"Handle"	"Funder Identifier lt. CrossRef"	"Funder-Info lt. CrossRef"	"Funder-Phrase lt. PDF"	"keine Funder-Angabe im PDF"
"10419/194377"	"'10.13039/501100000155'"	"'SSHRC'"	" Lehrer also would like to thank SSHRC for the research support. "	"?"
"10419/182486"		"'BI Norwegian Business School'"	"Sponsor Statement was not included in the original publication. This has been included in the copyright page in the revised version.

Open access for this book was sponsored by BI Norwegian Business School"	"?"
"10419/181965"	"'10.13039/100004424'"	"'African Development Bank Group'"	"""This conference would not have been pos- sible without the full support and the leadership of the African Development Bank’s President, the Executive Secretary of the Economic Commission for Africa and the Administrator of the United Nations Development Programme."""	"?"
"10419/200728"		"'BI Norwegian Business School'"	" I would also like to thank my employer BI Norwegian Business School for funding my work and for making it possible to publish it with Open Access."	"?"
"10419/181966"		"'Asian Century Institute'"	"I would also like to extend my sincere gratitude to the Asian Century
Institute for its generous support that enables this book to be available through Open Access."	"?"
"10419/214896"	"'10.13039/501100012687'"	"'Universität Kassel'"	"Open Access funding provided by Projekt DEAL."	"?"
"10419/214818"		"'Wissenschaftszentrum Berlin für Sozialforschung gGmbH'"	"Open Access funding provided by Projekt DEAL."	"?"
"10419/214622"		"'Wissenschaftszentrum Berlin für Sozialforschung gGmbH'"	"Open Access funding provided by Projekt DEAL."	"?"
"10419/150507"		"'Amgen GmbH'"	"Competing interests
The authors Schmid, Michailov and Gandra are all employees with Amgen and are therefore candidates for stocks or shares. Xu is consultant with Pharmerit and has no competing interests to declare."	"?"
"10419/195119"	"'10.13039/501100003945'"	"'Linköpings Universitet'"	"The authors wish to thank their interview partners for their kind support. Special thanks to the company BU Drive for the data and information."	"?"
"10419/175616"	"'10.13039/100004460', '10.13039/501100007811'"	"'Rotary Foundation', 'Sydney Medical School Foundation'"	"The data collection for this study was supported by and the paper enriched with insights from staff of the Programme for HIV/AIDS Integration and Decentralization at the National Primary Health Care Development Agency, Abuja, Nigeria. Thanks especially to Dr Rotimi Oduloju for support in coordinating data collection."	"?"
"10419/195612"	"'10.13039/501100006011'"	"'Babol Noshirvani University of Technology'"	"The first two authors thank Mazandaran University of Science and Technology, the third author thanks Sharif University of Technology and the fourth author thanks Babol University of Technology for supporting this work."	"?"
"10419/216668"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	" The Research Data Centre (FDZ) of the German Fed‐ eral Employment Agency (BA) at the Institute for Employment Research (IAB) provided the PASS data for the research project “Konsum und Lebensstandard – Eine Langfristanalyse der Einkommensverwendung in Deutschland” (AN 210/10‐1), which was funded by the German Science Foundation."	"?"
"10419/175621"	"'10.13039/501100003130'"	"'Fonds Wetenschappelijk Onderzoek'"	"The research described in this manuscript was carried out while Roselinde Kessels was a postdoctoral fellow of the Research Foundation – Flanders (FWO)."	"?"
"10419/150511"	"'10.13039/100000959'"	"'American Association of Orthopaedic Surgeons'"	"This research was
conducted by Oxford Outcomes, Inc. (now ICON plc) through a contract with the American Academy of Orthopaedic Surgeons (AAOS). No additional competing interests to report."	"?"
"10419/179081"	"'10.13039/100009350'"	"'Giannini Foundation of Agricultural Economics'"		"""No Funding""-Phrase"
"10419/205968"		"'shahram gilaninia'"		"""No Funding""-Phrase"
"10419/206083"		"'received no direct funding'"		"""No Funding""-Phrase"
"10419/206142"		"'direct funding'"		"""No Funding""-Phrase"
"10419/206073"		"'direct funding'"		"""No Funding""-Phrase"
"10419/194786"		"'funding'"		"""No Funding""-Phrase"
"10419/194787"		"'funding'"		"""No Funding""-Phrase"
"10419/206077"		"'funding'"		"""No Funding""-Phrase"
"10419/206067"		"'funding'"		"""No Funding""-Phrase"
"10419/206066"		"'funding'"		"""No Funding""-Phrase"
"10419/206074"		"'funding'"		"""No Funding""-Phrase"
"10419/194794"		"'funding for this research'"		"""No Funding""-Phrase"
"10419/206137"		"'funding for this research'"		"""No Funding""-Phrase"
"10419/205868"		"'N/A'"		"""No Funding""-Phrase"
"10419/205980"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China'"		"""No Funding""-Phrase"
"10419/206127"		"'funding agencies'"		"""No Funding""-Phrase"
"10419/205888"		"'Government of Finland'"		"""No Funding""-Phrase"
"10419/172564"	"'10.13039/501100002725'"	"'Amirkabir University of Technology'"		"x"
