	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder
0	10419/127465	17	Retirement and Savings Adequacy			'European Commission DG Employment, Social Affairs and Inclusion'	 Funding from the project ‘Wealth at Retirement and Savings Adequacy’ (WeRSA), European Commission DG Employment, Social Affairs and Inclusion, Grant Agreement No. VS/2013/0208 is gratefully acknowledged.	Y
1	10419/127465	17	United Belloni M			'European Commission DG Employment, Social Affairs and Inclusion'	 Funding from the project ‘Wealth at Retirement and Savings Adequacy’ (WeRSA), European Commission DG Employment, Social Affairs and Inclusion, Grant Agreement No. VS/2013/0208 is gratefully acknowledged.	Y
2	10419/127465	17	Grant Agreement No.VS/2013/0208			'European Commission DG Employment, Social Affairs and Inclusion'	 Funding from the project ‘Wealth at Retirement and Savings Adequacy’ (WeRSA), European Commission DG Employment, Social Affairs and Inclusion, Grant Agreement No. VS/2013/0208 is gratefully acknowledged.	Y
3	10419/127465	17	RSA			'European Commission DG Employment, Social Affairs and Inclusion'	 Funding from the project ‘Wealth at Retirement and Savings Adequacy’ (WeRSA), European Commission DG Employment, Social Affairs and Inclusion, Grant Agreement No. VS/2013/0208 is gratefully acknowledged.	Y
4	10419/127466	17	Spanish Ministry of Economics		'10.13039/501100003329'	'Ministerio de Economía y Competitividad'	This paper has benefited from funding from the Spanish Ministry of Economics (Project ECO2012-34828).	Y
5	10419/141321	9	FUNDING Financial support		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y
6	10419/141321	9	Spanish Ministry of Science		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y
7	10419/141321	9	Andalusia Project for Excellence		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y
8	10419/141321	9	Leibniz Association		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y
9	10419/141321	9	FUNDING		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y
10	10419/141321	9	SEJ		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y
11	10419/146837	11	Knowledge Foundation			'The Swedish Knowledge Foundation (KK-stiftelsen)'	This research was financed by grants from the Knowledge Foundation (KK-stiftelsen).	Y
12	10419/146850	20	Kyoto University			'The John Mung Program in Kyoto University', 'The Astellas Foundation for Research on Metabolic Disorders'	This work was supported by two foundations: the John Mung Program in Kyoto University and the Astellas Foundation for Research on Metabolic Disorders.	Y
13	10419/146850	20	Astellas Foundation for Research on Metabolic Disorders			'The John Mung Program in Kyoto University', 'The Astellas Foundation for Research on Metabolic Disorders'	This work was supported by two foundations: the John Mung Program in Kyoto University and the Astellas Foundation for Research on Metabolic Disorders.	Y
14	10419/146864	12	Employee certification Employees studies R&D organization R&D		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
15	10419/146864	12	sales Service knowledge intensity		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
16	10419/146864	12	10 Indico index		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
17	10419/146864	12	Dr Raúl Delgado		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
18	10419/146864	12	VISION Era - Net		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
19	10419/146864	12	KIBS		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
20	10419/146864	12	UNAM		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
21	10419/146864	12	VISION		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y
22	10419/146866	11	German Federal Ministry of Education		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	Financial support from the German Federal Ministry of Education and Research via the Hans-Böckler-Stiftung is gratefully acknowledged.	Y
23	10419/146866	11	Hans - Böckler - Stiftung		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	Financial support from the German Federal Ministry of Education and Research via the Hans-Böckler-Stiftung is gratefully acknowledged.	Y
24	10419/147212	11	JSPS KAKENHI Grant Number			'JSPS KAKENHI Grant'	This study was supported by JSPS KAKENHI Grant Number (25380346).	Y
25	10419/147212	11	Grant N			'JSPS KAKENHI Grant'	This study was supported by JSPS KAKENHI Grant Number (25380346).	Y
26	10419/147212	11	JSPS			'JSPS KAKENHI Grant'	This study was supported by JSPS KAKENHI Grant Number (25380346).	Y
27	10419/147212	11	KAKENHI			'JSPS KAKENHI Grant'	This study was supported by JSPS KAKENHI Grant Number (25380346).	Y
28	10419/147223	21	Environment Research and Technology Development Fund		'10.13039/501100006120'	'Ministry of the Environment, Government of Japan'	This research is supported by the Environment Research and Technology Development Fund S10-4 of the Ministry of the Environment, Japan.	Y
29	10419/147234	22	Benjamin Marussig		'10.13039/501100002428', '10.13039/501100004061'	'Austrian Science Fund', 'Oesterreichische Nationalbank'	This article was funded by the Austrian Science Fund (FWF) under Grant P24915-G11: “Diffusion Processes in economic systems” and supported by funds of the Oesterreichische Nationalbank, Anniversary Fund, Project No. 15482. The authors like to thank the FWF and the Oesterreichische Nationalbank for financial support.	Y
30	10419/147749	14	European Commission ’s Seventh Research Framework Programme			'This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European commission's seventh research framework programme.'	This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European Commission’s Seventh Research Framework Programme, contract number 244725.	Y
31	10419/147749	14	EU structural funds			'This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European commission's seventh research framework programme.'	This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European Commission’s Seventh Research Framework Programme, contract number 244725.	Y
32	10419/147749	14	contract No.244725			'This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European commission's seventh research framework programme.'	This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European Commission’s Seventh Research Framework Programme, contract number 244725.	Y
