	Index	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder	matched_funder
0	0	10419/127465	17	Retirement and Savings Adequacy			'European Commission DG Employment, Social Affairs and Inclusion'	 Funding from the project ‘Wealth at Retirement and Savings Adequacy’ (WeRSA), European Commission DG Employment, Social Affairs and Inclusion, Grant Agreement No. VS/2013/0208 is gratefully acknowledged.	Y	
1	3	10419/127465	17	RSA			'European Commission DG Employment, Social Affairs and Inclusion'	 Funding from the project ‘Wealth at Retirement and Savings Adequacy’ (WeRSA), European Commission DG Employment, Social Affairs and Inclusion, Grant Agreement No. VS/2013/0208 is gratefully acknowledged.	Y	Raynaud’s and Scleroderma Association (United Kingdom) (RSA (United Kingdom)); doi:10.13039/501100000411; 90.00
2	6	10419/141321	9	Spanish Ministry of Science		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y	Ministerio de Ciencia e Innovación (Spain) (Spanish Ministry of Science and Innovation (Spain)); doi:10.13039/501100004837; 90.00
3	7	10419/141321	9	Andalusia Project for Excellence		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y	
4	8	10419/141321	9	Leibniz Association		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y	Leibniz-Gemeinschaft (Germany) (Leibniz Association (Germany)); doi:10.13039/501100001664; 95.00
5	10	10419/141321	9	SEJ		'10.13039/501100004837'	'Ministerio de Ciencia e Innovación'	Financial support comes from the Spanish Ministry of Science and Innovation (ECO2010-17049), the Government of Andalusia Project for Excellence in Research (P07.SEJ.02547) and the Fundacion Ramón Areces R+D 2011. The publication of this article was funded by the Open Access Fund of the Leibniz Association.	Y	
6	12	10419/146850	20	Kyoto University			'The John Mung Program in Kyoto University', 'The Astellas Foundation for Research on Metabolic Disorders'	This work was supported by two foundations: the John Mung Program in Kyoto University and the Astellas Foundation for Research on Metabolic Disorders.	Y	Kyoto University (Japan); doi:10.13039/501100005683; 95.00
7	13	10419/146850	20	Astellas Foundation for Research on Metabolic Disorders			'The John Mung Program in Kyoto University', 'The Astellas Foundation for Research on Metabolic Disorders'	This work was supported by two foundations: the John Mung Program in Kyoto University and the Astellas Foundation for Research on Metabolic Disorders.	Y	Astellas Foundation for Research on Metabolic Disorders (Japan); doi:10.13039/501100007263; 95.00
8	17	10419/146864	12	Dr Raúl Delgado		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y	
9	20	10419/146864	12	UNAM		'10.13039/501100006087'	'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	Y	Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México (Mexico) (DGAPA, UNAM (Mexico)); doi:10.13039/501100006087; 90.00
