handle,page_n,ne,type_ne
10419/108930,29,European Regional Development Fund
10419/108930,29,Rural Development
10419/108930,29,Rural Economy
10419/108930,29,ESI
10419/108930,29,ERDF
10419/108930,29,ESF
10419/108930,29,EAFRD
10419/108930,29,EMFF
10419/108930,29,ARSHALLIAN
10419/108930,29,INDUSTRIAL
10419/108930,29,DISTRICT
10419/108937,14,USAID
10419/125585,20,grant PTDC/EGE-ECO/112177/2009
10419/125592,28,Directorate General for Employment
10419/125592,28,European Commission
10419/125592,28,grant No.VS/2008/0318
10419/125592,28,EUROMOD
10419/125595,17,grant agreement No.266.833
10419/125602,20,Spanish Ministry of Science
10419/125602,20,grant ECO2012-31985
10419/125607,26,Swedish Research Council
10419/125608,16,BMBF
10419/125608,16,ESF
10419/127452,25,Labour Market and Education Policy
10419/127452,25,grant 2006-21576-36119-66
10419/127454,18,Spanish Ministry of Economy
10419/127454,18,58991 - C3 - 2 - R
10419/127454,18,P1.1B2014 - 17
10419/127454,18,grant ECO2014-58991-C3-2-R
10419/127454,18,grant P1.1B2014-17
10419/127454,18,grant ECO2012-31081
10419/127457,32,Ghent University
10419/127457,32,National Bank of Belgium
10419/127457,32,Belgian Federal Administration Science Policy for its financial support
10419/127457,32,program Society
10419/127457,32,contract nr
10419/127461,20,financial help of Hungary ’s Social Renewal Operational Programme
10419/127461,20,European Social Fund
10419/127465,17,Retirement and Savings Adequacy
10419/127465,17,United Belloni M
10419/127465,17,Grant Agreement No.VS/2013/0208
10419/127465,17,RSA
10419/127466,17,Spanish Ministry of Economics
10419/130145,8,Economic Decision Making
10419/130145,8,Leibniz Association
10419/130749,25,Viadrina International Program for Graduates
10419/130749,25,German Federal Ministry of Education
10419/130749,25,VIP
10419/130749,25,DAAD
10419/141321,9,FUNDING Financial support
10419/141321,9,Spanish Ministry of Science
10419/141321,9,Andalusia Project for Excellence
10419/141321,9,Leibniz Association
10419/141321,9,FUNDING
10419/141321,9,SEJ
10419/142258,34,National Social Science Fund of China
10419/142258,34,Grant No.14BRK013
10419/142259,22,Bo˘gaziçi University Research Fund
10419/142259,22,grant No.BAP
10419/142259,22,BAP
10419/142708,24,University of Iceland
10419/142708,24,grant No.130551-052
10419/142708,24,IRF
10419/142772,14,Ministerio de Economía y Competitividad
10419/142772,14,ECO
10419/144158,25,ﬁnancial support of Fulbright USA
10419/144158,25,Methusalem funding
10419/144158,25,VIVES / KU Leuven
10419/144158,25,KU Leuven
10419/144158,25,National Bank of Belgium Sponsorship
10419/144158,25,Irish Studies
10419/144158,25,Grant G.0365.10N
10419/144158,25,FWO
10419/144582,21,National Natural Science Foundation of China
10419/144582,21,project No.71401193
10419/144582,21,Innovation Research
10419/144582,21,Central University of Finance
10419/146795,12,Global Health
10419/146795,12,Freie Universität Berlin
10419/146795,12,Excellence Initiative
10419/146795,12,Leibniz Association
10419/146795,12,DFG
10419/146795,12,WZB
10419/146832,17,National Innovation Project
10419/146832,17,Grant No.51275153
10419/146832,17,Grant No.2013M030400
10419/146834,19,Fulbright Foundation -USIEF
10419/146834,19,MIT
10419/146837,11,Knowledge Foundation
10419/146850,20,Kyoto University
10419/146850,20,Astellas Foundation for Research on Metabolic Disorders
10419/146855,2,existing SMEs
10419/146855,2,GAPI
10419/146855,2,FFPI
10419/146855,2,FARE
10419/146856,15,Basic Research Program
10419/146856,15,National Research University Higher School of Economics
10419/146856,15,Global Competitiveness Program
10419/146856,15,HSE
10419/146861,21,EU Commission
10419/146861,21,Higher Education
10419/146861,21,grant T
10419/146862,4,Waterloo Research
10419/146862,4,new start - ups Undergraduate and graduate programs Engineering / technology
10419/146862,4,co - op program Business / management
10419/146862,4,- op program Innovation
10419/146862,4,R&D Exits and cash outs Business angels
10419/146862,4,Communitech Hub
10419/146862,4,RIM
10419/146864,12,Employee certification Employees studies R&D organization R&D
10419/146864,12,sales Service knowledge intensity
10419/146864,12,10 Indico index
10419/146864,12,Dr Raúl Delgado
10419/146864,12,VISION Era - Net
10419/146864,12,KIBS
10419/146864,12,UNAM
10419/146864,12,VISION
10419/146866,11,German Federal Ministry of Education
10419/146866,11,Hans - Böckler - Stiftung
10419/146867,21,European Union
10419/147197,24,Science Foundation Ireland
10419/147199,12,JSPS KAKENHI Grant Number
10419/147199,12,Grant No.25245042
10419/147199,12,JSPS
10419/147199,12,KAKENHI
10419/147201,9,Economic Structures
10419/147201,9,Asia 7 economies
10419/147202,13,"GHGsMETI "" program"
10419/147202,13,SYNERGASIA 2011 action
10419/147202,13,European Regional Development fund
10419/147202,13,"adaptation assessment , Intergovernmental Panel on Climate Change"
10419/147202,13,SYNERGASIA
10419/147202,13,TGICA
10419/147203,18,Promoted Research 26000001B
10419/147203,18,Research Activity Start - up 26881006B
10419/147203,18,MEXT
10419/147205,23,Fuji Xerox Co.
10419/147205,23,Setsutaro Kobayashi Memorial Fund for additional financial support
10419/147206,12,Scientific Research
10419/147206,12,KAKENHI
10419/147208,11,JSPS
10419/147208,11,KAKENHI
10419/147210,18,Chukyo University Research Fund
10419/147210,18,regional input - output Miller RE
10419/147212,11,JSPS KAKENHI Grant Number
10419/147212,11,Grant N
10419/147212,11,JSPS
10419/147212,11,KAKENHI
10419/147214,3,Young Scientists
10419/147214,3,Japanese Ministry of Education
10419/147215,13,Promoted Research 26000001B
10419/147215,13,Research Activity Start - up 26881006B
10419/147215,13,DEA super - efficiency estimates
10419/147215,13,Chinese banks
10419/147215,13,Berger AN
10419/147215,13,MEXT
10419/147215,13,DEA
10419/147216,15,National Council of Sciences
10419/147216,15,grant 10017
10419/147217,20,Tokyo International University
10419/147219,17,JSPS Grant
10419/147219,17,Scientific Research
10419/147219,17,JSPS Fellows
10419/147219,17,JSPS
10419/147219,17,MRIO
10419/147222,17,European Commission
10419/147222,17,DESIRE Project
10419/147222,17,Grant No.308552
10419/147222,17,DESIRE
10419/147223,21,Environment Research and Technology Development Fund
10419/147226,23,JSPS KAKENHI Grant No.26380506
10419/147226,23,Grant No.26380506
10419/147226,23,JSPS
10419/147226,23,KAKENHI
10419/147229,10,JST
10419/147234,22,Benjamin Marussig
10419/147235,22,European Commission
10419/147235,22,FP7 project
10419/147235,22,efficient Europe
10419/147235,22,DESIRE
10419/147237,13,Border Regional Studies
10419/147239,15,JSPS Grant
10419/147239,15,JSPS Fellows
10419/147239,15,JSPS
10419/147240,19,numerical analysis of SPA
10419/147240,19,Prof. Azis
10419/147240,19,Applied Economics
10419/147240,19,Asian Development Bank
10419/147240,19,SPA
10419/147418,21,Completing Europe 's Economic and Monetary Union
10419/147418,21,EZ policies
10419/147482,23,Macao Foundation
10419/147482,23,Grant No.0398
10419/147695,13,FFR
10419/147696,17,Japanese SMEs
10419/147696,17,grant No.24653075
10419/147696,17,JSPS
10419/147696,17,KAKENHI
10419/147696,17,SME
10419/147738,14,British term structure
10419/147738,14,EMU
10419/147739,10,potential underpinning for POT
10419/147739,10,et endettement des PME
10419/147739,10,TOT
10419/147739,10,POT
10419/147739,10,PME
10419/147740,14,David Rockefeller Center for Latin American Studies
10419/147740,14,Spanish Ministry of Economy
10419/147740,14,Latin America
10419/147740,14,grant No.ECO2012-32189
10419/147740,14,grant No.ECO2011-30260-C03-01
10419/147740,14,BIS
10419/147741,12,Vietnamese financial sector
10419/147741,12,Vietnamese lending institutions
10419/147741,12,Vietnamese government
10419/147741,12,Vietnamese monetary authority
10419/147741,12,Vietnamese lending rate
10419/147742,11,LBO
10419/147743,12,company panel Page
10419/147747,10,financial performance of US credit unions
10419/147748,8,Pakistani non - financial companies
10419/147749,14,European Commission ’s Seventh Research Framework Programme
10419/147749,14,EU structural funds
10419/147749,14,contract No.244725
10419/147752,12,MRRC grant
10419/147752,12,MRRC
10419/147754,10,US subprime loans
10419/147754,10,IUL
10419/147755,13,sociopolitical Risks research study
10419/147755,13,CSFRS
10419/147755,13,AFD
10419/147756,8,Financial information disclosure
10419/147756,8,Mexican corporations
10419/147756,8,Hong Kong listed companies
10419/147756,8,New Zealand
10419/147757,14,Dutch disease hypothesis
10419/147758,16,GICS industry sectors
10419/147758,16,popular SPDR ® exchange
10419/147758,16,ETF funds
10419/147758,16,GICS system
10419/147758,16,GICS
10419/147758,16,ETF
10419/147760,14,Open Society Foundations
10419/147760,14,Jennifer L. Castle
10419/147762,10,OECD
10419/147763,8,Financial market
10419/147763,8,post - reforms India
10419/147763,8,GDP
10419/147766,12,C mutual fund return
10419/147766,12,average return of D
10419/147766,12,mutual fund C
10419/147766,12,Alba Díaz Gómez for her support
10419/147766,12,Spanish investment fund performance
10419/147766,12,PIRR
10419/147769,14,Agricultural Research
10419/147769,14,FARA
10419/147770,14,Hong Kong
10419/147771,8,Social Sciences
10419/147772,9,Total profit Appendix A Experiment
10419/147772,9,"Bank 1 Round 1 $ 18,000"
10419/147773,23,Financial support
10419/147773,23,OeNB Jubilaeumsfond
